1,8830
2,2199
3,4741
4,14675
5,11867
6,9127
7,12582
8,13766
9,8343
10,15700
11,10239
12,10005
13,13433
14,18773
15,12376
16,8235
17,14849
18,5379
19,24233
20,16918
21,8150
22,5951
23,22714
24,5934
25,7708
26,614
27,3024
28,23358
29,17837
30,133
31,2627
32,8902
33,18195
34,24241
35,18482
36,17658
37,6926
38,12830
39,6809
40,327
41,12533
42,5657
43,4900
44,18786
45,930
46,3003
47,16078
48,14743
49,13165
50,917
51,17881
52,744
53,17227
54,22970
55,6396
56,5793
57,18094
58,3166
59,2323
60,8082
61,19870
62,16929
63,11466
64,14414
65,8878
66,14470
67,11030
68,12391
69,13628
70,6410
71,3671
72,18146
73,15741
74,6147
75,17708
76,9402
77,12747
78,4719
79,2336
80,11723
81,7482
82,5502
83,17849
84,21857
85,23491
86,12090
87,1134
88,2131
89,3235
90,20213
91,17794
92,7380
93,289
94,24140
95,15210
96,192
97,23936
98,13441
99,20483
100,23837
101,13018
102,1452
103,6784
104,21450
105,10206
106,7518
107,10087
108,15529
109,3275
110,14082
111,13516
112,4991
113,2497
114,13175
115,9862
116,17770
117,23658
118,7099
119,20168
120,16911
121,15321
122,12899
123,20647
124,17040
125,4960
126,22434
127,23565
128,2665
129,7579
130,6522
131,18167
132,15115
133,1580
134,20696
135,19559
136,19485
137,21588
138,2468
139,13846
140,11396
141,2894
142,17746
143,304
144,14928
145,9942
146,10605
147,20481
148,5697
149,6032
150,18823
151,6321
152,13257
153,18909
154,421
155,4796
156,20599
157,3970
158,21390
159,17866
160,11467
161,11641
162,9291
163,1696
164,2326
165,7192
166,23809
167,23959
168,15344
169,3802
170,6695
171,13324
172,1856
173,20648
174,21939
175,13877
176,23301
177,4474
178,18591
179,4085
180,4192
181,22476
182,14006
183,12463
184,6347
185,14891
186,23047
187,21033
188,334
189,15640
190,342
191,10297
192,21533
193,531
194,8437
195,16600
196,11767
197,12614
198,20634
199,11990
200,11377
201,19319
202,19170
203,21375
204,6389
205,18511
206,16572
207,9523
208,21925
209,5155
210,21713
211,20355
212,19665
213,3666
214,22617
215,637
216,21294
217,16165
218,19039
219,13893
220,8272
221,24113
222,17705
223,15648
224,20581
225,8452
226,3447
227,7171
228,12959
229,2042
230,16670
231,7537
232,23449
233,23399
234,18629
235,9243
236,15301
237,12099
238,9790
239,8948
240,2027
241,23781
242,6468
243,8364
244,18094
245,12747
246,57
247,15854
248,12799
249,3012
250,9926
251,23963
252,5208
253,22204
254,2384
255,20685
256,15932
257,16540
258,20900
259,18241
260,19299
261,6524
262,6505
263,11383
264,13020
265,21232
266,13455
267,18423
268,9344
269,22233
270,10090
271,15617
272,5274
273,10110
274,6041
275,12110
276,5661
277,8286
278,12951
279,6064
280,3881
281,4448
282,19170
283,12355
284,20789
285,5743
286,5456
287,7454
288,6176
289,1075
290,1978
291,16091
292,23786
293,14795
294,7304
295,14035
296,23304
297,1399
298,16421
299,4670
300,372
301,7891
302,10775
303,3496
304,1369
305,10694
306,23475
307,2253
308,673
309,8774
310,8489
311,2129
312,8336
313,5275
314,22528
315,23992
316,18667
317,23019
318,13600
319,7826
320,19568
321,1125
322,23919
323,10534
324,24268
325,4949
326,2506
327,23848
328,7112
329,14551
330,5991
331,5107
332,9175
333,2322
334,24266
335,21947
336,10252
337,17619
338,11079
339,10024
340,17883
341,6685
342,3581
343,9944
344,401
345,2465
346,9274
347,2475
348,10035
349,19172
350,21216
351,5051
352,19280
353,8623
354,18773
355,12774
356,12759
357,4575
358,20476
359,3942
360,1175
361,17730
362,14425
363,6545
364,3778
365,14927
366,5588
367,16066
368,18594
369,24177
370,15000
371,4367
372,5646
373,8605
374,12749
375,3785
376,2722
377,9274
378,20004
379,10002
380,7776
381,13705
382,12441
383,15378
384,4707
385,21228
386,10993
387,1026
388,16639
389,2018
390,20773
391,21902
392,9362
393,1615
394,8842
395,18300
396,24183
397,12947
398,20093
399,22669
400,17291
401,11846
402,6655
403,19627
404,613
405,10387
406,21363
407,19674
408,15383
409,7341
410,21149
411,9856
412,3329
413,4957
414,18031
415,13926
416,8532
417,2254
471,6474
519,20218
550,13000
566,1235
589,13288
616,3063
617,16967
618,21542
619,23981
620,1894
621,6634
622,9139
623,7340
624,11597
625,10343
626,117
627,18688
628,22588
629,7218
630,12561
631,15104
632,845
633,22533
634,14455
635,15757
636,19435
637,5395
638,21074
639,12379
640,5738
641,15316
642,18154
643,4113
644,5793
645,12129
646,16596
647,16354
648,12212
649,17322
650,1227
651,3960
652,22417
653,23187
654,6113
656,10891
657,7962
658,12993
659,22830
660,16926
666,20990
667,23368
668,20011
672,9908
673,15167
674,14650
675,23406
676,10823
677,1424
678,19080
679,14427
680,4784
681,23900
682,2270
683,17196
684,13366
685,21958
686,20001
687,2988
688,8119
689,18243
690,22408
691,2966
692,17354
693,10849
694,24079
695,12481
696,22546
697,21667
698,14539
699,13799
700,12819
701,14601
702,1684
703,649
704,13202
705,21087
706,18376
707,23243
708,746
709,7101
710,14043
711,14084
712,16557
713,3839
714,11834
715,6454
716,7498
717,2763
718,2127
719,3716
720,7110
721,17568
722,8428
723,15063
724,11357
725,17483
726,17095
727,3180
728,23961
729,4450
730,9079
731,5052
732,2455
733,19059
734,16359
735,12091
736,5508
737,2849
738,2240
739,14781
740,16498
741,3866
742,9259
743,22562
744,4137
745,6980
746,22537
747,10642
748,19679
749,15142
750,7445
751,41
752,15029
753,181
754,8332
755,9245
756,1559
757,377
758,10935
759,5782
760,18676
761,1334
762,13890
763,24187
764,2869
765,11015
766,19908
767,2037
768,21598
769,4258
770,16838
771,11081
772,5251
773,13106
774,5476
775,11869
776,18748
777,18325
